Origem/Destino;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;Ipanema;São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Costa Barros;27684;29805;27597;23138;26793;25522;26339;11296;27734;9750;26016;2736;10473;25458;9162;7531;28107;12904;27441;7286;5353;6459;27735;0;11522;13964;28302;29404;3780;2888;7496;2088;8467;7767;6581;4082;17451;11009;21511;9035;20027;6168;17678;12686;9962;8356;9160;34210;11929;18442;9481;15177;10473;6383;18783;13642;10477;23337;7244;10595;42861;9969;19664;10248;12464;20441;20561;8598;12313;14457;11971;10853;12960;16330;11974;17724;9957;11997;24735;35261;17184;16794;12461;22724;13949;24096;23348;31555;14597;17461;13103;23772;15911;27140;25566;28932;25608;25176;27100;23741;17211;23724;14113;18884;19220;21131;23940;26262;26873;25318;27305;35092;28253;29100;27199;30467;27834;22864;15473;21491;32886;35258;31478;45859;35793;38326;31822;21769;36296;38345;22266;47046;28388;20168;25160;33118;30297;34045;30616;35074;38534;32884;42083;36183;30222;35698;36063;42993;38867;50462;32898;38060;42433;45578;41326;25863;5115;29683;27191;15948;17386;18707;16245;44153
Brás de Pina;19578;21699;19490;15031;18686;17415;18232;4540;19627;6122;17910;10357;2947;17352;5771;9279;20001;1893;19335;4635;17238;8752;19628;12083;0;3771;20195;21298;11426;11526;17987;10119;3114;15408;5847;11728;4518;3435;13973;16676;11920;6990;6459;20326;5075;15997;7017;41851;9786;7027;6770;22818;18114;14029;10676;14941;8334;30977;14890;11332;50501;17610;27305;9593;20105;12335;12454;10768;10170;14576;19439;13811;20600;16449;21581;25365;10694;17964;32376;42902;14528;16913;13198;14618;19163;15990;15241;39195;17700;16765;18833;15666;18511;19033;17460;20825;17502;17070;18993;15634;19215;15617;26967;26524;19051;20962;23771;18155;18766;17212;19199;26986;20147;20993;19093;22360;19728;21112;25905;19776;24780;27152;23372;53500;43434;30219;23715;29410;28190;30239;29121;54687;28219;27809;32801;25012;28222;25939;38257;26968;30427;24778;39706;28076;32214;27592;27956;34886;30761;58103;40539;29953;34326;53219;48966;17756;12756;21577;34832;23589;25027;26348;23886;51794
Penha;16301;18422;16214;11754;15410;14139;14956;6141;16351;8026;14633;12249;4797;14075;9874;11183;16724;1370;16058;6200;19125;10644;16352;13970;3271;0;16919;18021;13314;13414;19875;12007;5405;17296;7839;13616;3903;4513;9602;18564;8644;8982;3563;22214;5267;17885;7208;43739;14302;4894;8297;24706;20002;9789;5284;11664;8525;32865;10248;12859;52389;19498;29193;9784;21993;9058;9178;10959;12862;11300;16162;19558;22488;13172;18305;27253;12221;14688;34263;44790;11252;13637;26117;11341;15886;12713;11965;41083;14423;13488;15557;12389;15234;15757;14183;17549;14225;13793;15717;12358;15938;12341;23690;28412;15774;17685;20495;14879;15490;13935;15922;23709;16870;17717;15816;19084;16451;17835;22629;16500;21503;23875;20095;53465;42747;26943;20439;31298;24913;26962;25844;56575;24942;29697;34688;21735;24946;22662;37570;23691;27151;21501;36430;24800;28937;24315;24680;31610;27484;58067;40504;26677;31050;53183;49447;14480;14644;18300;36720;25477;26914;28236;25774;51758
Zumbi;21528;4779;3952;9829;3595;4611;5004;19015;2374;20310;3496;25019;17530;4031;22870;23425;1837;16686;784;23126;32122;24778;1301;26967;19884;16865;0;1381;26310;26410;32871;25003;22268;30292;24933;26612;18692;23236;12984;31560;12998;26076;13808;35210;22502;30881;24301;56735;21029;18156;25390;37702;28439;28913;15397;18391;20757;45861;29773;27626;65385;32494;42189;22016;34989;15785;15797;23191;19589;18027;22889;26285;35484;19900;25032;35460;27015;21415;47260;57786;17979;20364;32844;17348;22613;17871;18188;54079;21150;18429;22284;19058;21961;21205;19410;22508;20844;20412;21165;18977;22614;19243;30417;32433;22501;24412;27222;19838;20449;20555;20875;28935;21823;22670;20769;24037;21410;26078;29356;24743;26730;29102;25321;60192;49474;31895;29195;37583;27324;32189;32571;69571;31669;38847;42237;26365;31673;27292;44297;28321;32377;26131;41059;29430;35664;28945;29310;36239;32114;64794;47231;31306;35680;59910;56174;21099;27640;23260;49716;38473;39910;41232;38770;58485
Ribeira;22484;5588;4761;10786;4404;5568;5813;19972;3182;21267;4453;25975;18487;4987;23827;24382;2646;17643;1741;24083;33078;25734;1961;27923;20841;17822;980;0;27267;27367;33828;25959;23225;31248;25889;27569;19649;24193;13941;32517;13954;27032;14765;36167;23459;31838;25258;57692;21985;19113;26347;38658;29396;29870;16354;19348;21713;46818;30730;28583;66342;33451;43146;22973;35946;16742;16753;24147;20546;18983;23846;27242;36441;20856;25989;36417;27971;22371;48216;58742;18935;21320;33801;18305;23570;18828;19145;55036;22107;19386;23241;20015;22918;22161;20366;23465;21801;21369;22122;19934;23570;20200;31374;33390;23458;25369;28178;20795;21406;21511;21832;29892;22780;23626;21726;24993;22367;27035;30312;25699;27686;30058;26278;61148;50430;32852;30151;38540;28280;33145;33528;70528;32626;39803;43193;27322;32629;28249;45254;29277;33334;27087;42016;30386;36621;29902;30266;37196;33070;65751;48187;32263;36636;60867;57131;22055;28597;24216;50672;39430;40867;42189;39726;59442
Coelho Neto;24117;26239;24030;19571;23226;21955;22772;7729;24167;6184;22450;3899;6906;21891;5595;3964;24541;9337;23874;3719;9490;2892;24168;4335;7955;10397;24735;25838;0;3779;10240;2372;4900;7661;3123;3981;13884;7442;17944;8929;16460;4029;14111;12579;6504;8250;5703;34104;8472;14875;5801;15070;10366;6282;15216;10185;7019;23230;7142;10494;42754;9863;19558;8279;12358;16874;16994;8497;8856;11000;11870;10751;12853;12872;11872;17618;9856;9950;24628;35155;13726;13336;12360;19158;15874;20529;19781;31448;13167;14004;15545;20205;14934;23573;21999;25365;22041;21609;23533;20174;23754;20157;14012;18777;15763;17673;20483;22695;23306;21752;23738;31525;24687;25533;23632;26900;24267;19407;22617;18033;29320;31692;27911;45753;35686;34759;28255;21663;32729;34778;22160;46940;24931;20062;25053;29552;24934;30478;30510;31507;34967;29317;44246;32616;28926;32132;32496;39426;35300;50356;32792;34493;38866;45472;41219;22296;5009;26116;27085;15842;17279;18601;16138;44046
Guadalupe;30617;32739;30530;26071;29726;28455;29272;14229;30667;12684;28950;5090;13406;28391;12095;10464;31041;15837;30374;10219;3872;9392;30668;2602;14455;16897;31235;32338;6714;0;7896;4442;11400;5317;9626;7631;20384;13942;24444;6585;22960;8980;20611;10235;13007;5898;12205;31760;14974;21375;12303;12726;7263;8737;21716;16688;13522;20886;9597;8691;40410;7519;17214;14782;10014;23374;23494;10952;15359;17502;13844;12047;10509;19375;13168;15274;11092;13869;22284;32810;20229;19839;12925;25658;15821;27029;26281;29104;16469;20506;14975;26705;17783;30073;28499;31865;28541;28109;30033;26674;19083;26657;20038;16433;30091;32001;22006;29195;29806;28252;30238;38025;31187;32033;30132;33400;30767;25909;19950;30816;35820;38192;34411;43409;33342;41259;34755;19319;39229;41278;19816;44596;29997;17718;22709;36052;27846;36978;28166;38007;41467;35817;39633;39116;27772;38632;38996;42198;41800;48012;30448;40993;41638;43128;38875;28796;2665;32616;24741;13498;14935;16257;13794;41702
Parque Anchieta;33534;35655;33446;28987;32642;31371;32188;17146;33583;15600;31866;13315;16322;31308;15011;13380;33957;18753;33291;13136;3180;12308;33584;6846;17371;19814;34151;35254;9630;5488;0;11790;14317;2940;12542;10548;23301;16858;27361;6221;25876;11896;23528;10922;15923;8821;15121;32447;17891;24291;15220;13414;8610;13256;24632;19604;16438;21573;14117;10039;41097;8106;17901;17698;10601;26291;26410;15471;18275;20418;16766;13394;11097;22291;14515;15961;12439;16791;22972;33498;23145;22755;13512;28574;18744;29946;29197;29791;19391;23422;17897;29622;20705;32989;31416;34781;31458;31026;32949;29590;22005;29573;20725;17120;17376;34918;22693;32111;32722;31168;33155;40942;34103;34949;33049;36316;33684;28826;20637;33732;38736;41108;37328;44096;34030;44175;37671;20006;42145;44195;20503;45283;30685;18405;23397;38968;28534;39895;28853;40924;44383;38734;40320;42032;28459;41548;41912;42885;44716;48699;31135;43909;42326;43815;39562;31712;6818;35533;25428;14185;15622;16944;14482;42390
Barros Filho;25721;27842;25633;21174;24829;23558;24375;9332;25770;7787;24053;5502;8509;23494;7198;5567;26144;10940;25478;5322;7633;4495;25771;2088;9558;12001;26338;27441;1817;1921;8383;0;6503;5803;4729;2118;15487;9045;19548;7072;18063;4204;15714;10722;8110;6392;7308;32247;10078;16478;7517;13213;8509;4420;16819;11791;8625;21373;5280;8631;40897;8006;17700;8285;10500;18477;18597;6634;10462;12605;10008;8889;10996;14478;10010;15761;7993;10033;22771;33297;15332;14942;10498;20761;11985;22132;21384;29591;12633;15609;11139;21809;13947;25176;23603;26968;23644;23212;25136;21777;15247;21760;12149;16920;25194;27104;29914;24298;24909;23355;25341;33128;26290;27136;25235;28503;25870;21013;13510;25919;30923;33295;29515;43896;33829;36362;29858;19805;34332;36382;20303;45083;30484;18205;23196;31155;28333;32081;28652;33110;36570;30920;40120;34219;28259;33735;34099;41029;36903;48498;30935;36096;40469;43614;39362;23899;3152;27720;25227;13985;15422;16743;14281;42189
Vista Alegre;22900;25021;22813;18354;22009;20738;21555;5733;22950;5562;21232;7710;5682;20674;4373;7947;23323;3752;22657;1859;16193;7708;22951;11038;3380;5912;23518;24620;10382;10482;16943;9075;0;14364;3771;10684;6659;2259;16715;15632;15243;4914;8600;19282;3916;14953;5291;40807;8060;9168;4852;21774;10226;6344;13999;9773;6608;29933;6803;9414;49457;16566;26261;7867;19061;12164;15777;9042;8444;10588;12191;12085;19556;12461;13206;24321;8776;9539;31331;41858;13315;12925;11280;17940;15463;19312;18564;38151;12755;13592;15133;18988;14522;22356;20782;24148;14626;20392;22316;18957;15175;18940;12932;25480;15351;17262;20071;21478;22089;20534;22521;30308;23469;24316;22415;25683;23050;18995;22205;17621;28102;30474;26694;52456;42390;33542;27038;28366;31512;33561;25421;53643;24519;26765;31756;30096;24522;31023;37213;32052;33750;29862;44790;33160;28514;32676;33040;39970;35845;57059;39495;35037;39410;52175;47922;21079;11712;24899;33788;22545;23982;25304;22842;50749
Ricardo de Albuquerque;31596;33717;31508;27049;30704;29433;30250;15208;31645;13662;29928;11377;14384;29369;13073;11442;32019;16815;31353;11197;1830;10370;31646;5496;15433;17876;32213;33316;7692;4138;2580;7336;12379;0;10604;8610;21362;14920;25423;4282;23938;9958;21589;8984;13985;6883;13183;30509;15953;22353;13281;11475;6672;11318;22694;17666;14500;19635;12178;8100;39159;6168;15963;15760;8663;24352;24472;13533;16337;18480;14828;11456;9158;20353;12577;14023;10501;14853;21033;31560;21207;20817;11574;26636;16806;28008;27259;27853;17453;21484;15959;27684;18767;31051;29478;32843;29519;29088;31011;27652;20067;27635;18787;15182;15437;32980;20755;30173;30784;29230;31216;39004;32165;33011;31110;34378;31745;26888;18699;31794;36798;39170;35390;42158;32092;42237;35733;18068;40207;42257;18565;43345;28746;16467;21458;37030;26595;37957;26915;38985;42445;36795;38382;40094;26521;39610;39974;40947;42778;46761;29197;41971;40387;41877;37624;29774;5746;33595;23490;12247;13684;15006;12544;40451
Colégio;23774;25896;23687;19228;22883;21612;22429;7380;23824;5834;22107;4290;6556;21548;5247;4355;24198;8982;23531;2422;11881;3283;23825;5521;7605;10042;24392;25495;6070;6170;12631;4762;4551;10051;0;3312;13541;4503;17589;11320;16117;2119;13768;14970;4594;6911;3793;36495;6562;12037;3891;17461;7254;3910;14873;8275;5110;25621;5249;8453;45145;12254;21949;6369;10500;10666;16651;7544;6946;9090;10693;8710;9954;10962;9831;20009;7815;8040;27019;37545;11816;11427;10319;12957;13965;20186;19438;33839;11257;12094;13635;13869;13024;23230;21656;25022;13128;14498;23190;19831;13677;19814;11971;21168;13853;15764;18573;22352;22963;15428;23395;31182;24344;25190;23289;17007;23924;17497;20707;16123;28977;31348;27568;48144;38077;25086;27912;24054;32386;34435;23922;49331;23021;22453;27444;30970;23024;31897;32901;32926;34624;30736;38877;34035;27016;33550;33914;40844;36719;52747;35183;35911;40285;47863;43610;21953;7400;25773;29476;18233;19670;20992;18529;46437
Honório Gurgel;27182;29303;27095;22636;26291;25020;25837;10794;27232;9248;25514;6963;9971;24956;8660;7029;27605;12402;26939;6784;9242;5957;27233;4082;11020;13462;27800;28902;3278;3531;9992;2118;7965;7413;3827;0;16949;7117;21009;8681;19525;2554;17176;12331;7208;5474;6406;33856;9105;17940;5867;14822;5817;2770;18281;10818;7563;22982;3630;6981;42506;9615;19310;6635;12110;13208;20059;4985;9489;11632;8358;7239;8518;13505;8360;17370;6343;8383;24380;34907;14359;13969;8848;22222;10335;23594;22846;31200;10983;14636;9489;23270;12297;26638;25064;28430;15670;24674;26598;23239;13597;23222;10499;18529;11627;13538;16347;25760;26371;24816;26803;34590;27751;28598;26697;29965;27332;20040;11860;18666;32384;34756;30976;45505;35439;37824;31320;21415;35794;37843;21912;46692;20795;19814;24805;32616;20798;33543;30262;34572;38032;32382;36651;35681;24790;35196;35561;42491;38365;50108;32544;37558;41931;45224;40971;25361;4761;29181;26837;15594;17031;18353;15891;43798
Olaria;13823;17786;15577;11118;14773;13502;14319;7280;15714;8862;13997;13096;5686;13439;8510;12019;16088;4053;15422;7476;19977;11492;15715;14822;4410;4711;16282;17385;14166;14266;20727;12859;6680;18148;9101;14468;0;5775;6958;19416;8872;10244;2608;23066;6528;18737;8469;44591;6002;2497;9558;25557;16816;11050;4328;4268;7492;33717;11509;16003;53241;20350;30045;8752;22845;4153;6686;9926;7966;6403;11266;14662;19046;8276;13409;23837;15391;9791;35115;45642;6346;6732;21221;6929;10990;11748;9050;41935;9527;6797;10661;8639;10338;13278;11705;15070;10441;10380;13238;8945;10990;8928;18794;20810;10878;12789;15598;12400;13011;10522;11047;21231;14392;15238;13338;14321;13972;14811;17732;13437;19025;21397;17617;48568;37850;22399;23071;25960;21200;24484;20948;57427;20046;27223;30613;20241;20049;21168;32674;22197;24672;20007;35902;23306;24041;22821;23186;30116;25990;53171;35607;25183;29556;48287;44551;12001;15496;15822;37572;26329;27766;29088;26626;46862
Vila da Penha;20152;22273;20065;15605;19261;17990;18807;6336;20202;6166;18484;8220;6285;17926;4976;8550;20575;4443;19909;3117;16797;7213;20203;11642;3842;4344;20770;21872;10986;11085;17547;9678;3019;14967;4281;6617;5091;0;17319;16235;12495;5424;7032;19886;1975;10216;3650;41411;6419;7600;4739;22377;10113;6230;8753;8132;4966;30537;6689;9300;50061;17170;26864;6226;12854;10522;13029;7400;6803;8947;10550;10444;12317;10819;11564;24925;8662;7897;31935;42461;11673;11283;11167;12814;13821;16564;15816;38755;11114;11951;13492;13726;12881;19608;18034;21400;12985;14355;19568;16209;13533;16192;12818;26084;13710;15620;18430;18730;19340;15285;19773;27560;20721;21568;19667;16864;20302;17354;20564;15980;25354;27726;23946;51400;40682;24942;24290;28969;28764;30813;23779;54246;22878;27368;32360;25586;22881;26513;35505;27542;31002;25352;38734;28651;26873;28166;28531;35461;31335;56003;38439;30528;34901;51118;47382;18331;12316;22151;34391;23148;24586;25907;23445;49693
Maré;9832;16408;14199;9740;13395;12124;12941;11835;14336;12920;12619;17145;9704;12060;14767;16077;14710;7377;14044;12539;24021;15540;14337;18866;9278;7556;14904;16007;18210;18309;24771;16902;14165;22191;13007;18512;6766;11310;0;23460;3919;14150;6549;27110;10576;22780;12375;48635;9103;6230;13464;29601;16513;14956;3471;6465;8831;37761;15415;15701;57285;24394;34088;10091;19281;3859;4656;11265;7663;6101;10963;14359;18744;7974;13106;23535;15089;9489;39159;49685;6053;8438;20918;5422;10687;6176;6493;45979;9224;6503;10358;7132;10035;9509;7714;10813;10139;12255;9469;10820;10688;7548;18491;20508;10576;12486;15296;8143;8753;11649;9179;17240;10128;10974;9073;12341;9715;14383;17430;13047;15034;17406;13626;48266;37548;20200;17499;25658;15628;20493;20645;61471;19744;26921;30311;14669;19747;15596;32371;16625;20681;14435;29364;17734;23739;17250;17614;24544;20418;52869;35305;19611;23984;47985;44248;9971;19540;11564;41615;30373;31810;33131;30669;46559
Vila Militar;32110;34231;32022;27563;31218;29947;30764;15722;32159;14176;30442;11891;14898;29884;13587;11956;32533;17329;31867;11712;5809;10884;32160;8307;15947;18390;32727;33830;8206;6949;6559;10366;12893;3979;11118;9124;21877;15434;25937;0;24452;10472;22104;4631;14499;7397;13698;27339;16467;22867;13796;7092;6127;11832;23208;18180;15014;16466;12693;7555;35990;2203;12793;16274;8118;24867;24986;14047;16851;18994;15342;10911;8669;20867;12031;9436;9956;15368;17864;28390;21721;21331;11029;27150;17320;28522;27773;24684;17967;21999;16473;28198;19281;31565;29992;33357;30034;29602;31525;28166;20581;28149;13025;12013;14892;33494;17586;30687;31298;29744;31731;39518;32679;33525;31625;34892;32260;27402;15529;32308;37312;39684;35904;38988;28922;42751;36247;14898;40722;42771;15395;40175;25577;13297;18289;37544;23426;38471;23745;39500;42959;37310;35212;40608;23351;40124;40488;37777;37103;43591;26027;39192;37218;38707;34455;30288;4335;34109;20320;9077;10515;11836;9374;37282
Cidade Universitária;10543;14209;12001;7542;11197;9926;10743;13211;12138;14506;10420;19215;11726;9862;17066;17621;12511;10249;11845;17322;26317;18974;12139;21162;14080;10429;12706;13808;20506;20606;27067;19199;16464;24488;16227;20808;9987;14531;6548;25756;0;17370;7371;29406;13797;25077;15596;50931;12324;9451;16685;31897;19734;18177;6692;9686;12051;40057;18636;18921;59581;26690;36385;13311;29185;7080;7877;14485;10884;9322;14184;17580;21964;11194;16327;26755;18310;12710;41455;51982;9273;11658;24139;8643;13908;6887;7204;48275;12445;9724;13579;10353;13256;10221;8425;11524;13399;12967;10181;11531;15111;8259;21712;23728;13796;15707;18516;8854;9465;12361;9891;17951;10839;11686;9785;13053;10426;15094;20651;13759;15746;18118;14337;51486;40769;20911;18211;28878;16340;21204;23866;63767;22964;30141;33531;15381;22967;16308;35592;17337;21393;15147;30075;18446;26959;17961;18325;25255;21130;56089;38525;20322;24696;51205;47469;12648;21836;12276;43912;32669;34106;35428;32965;49780
Rocha Miranda;28455;30576;28368;23909;27564;26293;27110;10565;28505;9019;26787;6361;9741;26229;9933;6426;28878;13675;28212;3631;10515;5355;28506;5355;7754;14735;29073;30175;4551;4804;11265;3391;5303;8686;2422;1852;9999;5712;15264;9954;17178;0;18449;13604;5803;4926;5002;35129;7771;13246;3707;16095;5269;1926;13655;9484;6319;24255;3265;6616;43779;10888;20583;6269;8516;11875;14992;4619;8155;10299;7993;6874;7970;12171;7995;18643;5978;8018;25653;36180;13025;12636;8482;14166;9970;20054;17356;32473;10618;13303;9124;15078;11932;27911;26337;29703;14337;15707;27871;16182;13232;16165;10134;19802;15062;16973;19782;27033;27644;16637;18284;35863;29024;29871;27970;18216;28605;18706;11494;17332;33657;36029;32249;46778;36711;26295;31377;22688;29506;39116;14163;47965;24230;21087;26078;28547;24233;29474;31535;30503;39305;28313;40086;31612;28225;31127;31492;38422;34296;51381;33817;33489;37862;46497;42244;26634;6034;30454;28110;16867;18304;19626;17163;45071
Ramos;13399;15524;13316;8856;12512;11241;12058;11684;13453;12771;11735;16994;9542;11177;14619;15928;13826;4572;13160;14875;23870;15389;13454;18715;6473;3202;14021;15123;18059;18158;24620;16751;14017;22040;13758;18361;2556;7716;6695;23309;5745;14901;0;26959;11328;22630;13127;48484;9854;3546;14216;29450;17265;15708;3064;5317;9582;37610;21522;16452;57134;24243;33937;10842;26737;4611;6270;12016;8415;6852;11715;15111;27233;8725;13858;24286;15840;10240;39008;49534;8220;9189;21670;5837;11439;9810;9062;45828;9976;8646;11110;7547;10787;12854;11281;14646;11322;10890;12814;9455;13035;9438;19243;21259;11327;13238;16047;11976;12587;11033;13019;20806;13968;14814;12913;16181;13548;15260;18181;13597;18601;20973;17192;49017;38299;24040;17536;26409;22010;24060;21397;61320;20495;27672;31062;19978;20498;20905;33123;21934;24248;19744;34672;23043;24490;22558;22922;29852;25727;53620;36056;24919;29293;48736;45000;11577;19389;15398;41464;30222;31659;32980;30518;47311
Realengo;35485;37606;35397;30938;34593;33322;34139;19097;35535;17551;33817;15266;18273;33259;16962;15331;35908;20704;35242;15087;10658;14259;35535;15705;19322;21765;36102;37205;11581;15149;11408;13742;16268;8828;14493;12499;25252;18809;29312;5334;27827;13847;25479;0;17874;10772;17073;27555;19842;26242;14315;3157;9004;15207;26583;21555;18389;11608;16068;10433;36205;2715;7899;15290;6554;28242;28361;13640;20226;22370;14863;12503;7814;24242;13624;8581;11549;15239;11748;28605;25096;19366;11029;30525;16862;31897;31148;19043;17839;25374;16015;31573;19152;34940;33367;36732;33409;32977;34900;31541;20452;31524;12170;10813;16485;19025;15314;34062;34673;33119;35106;42893;36054;36900;35000;38267;35635;24047;13257;35684;40687;43059;39279;37789;27722;40822;39622;13699;44097;46146;14196;40390;24377;12098;17089;40919;22226;41846;22546;42875;46334;40685;34013;37643;22152;43499;43863;36578;35904;42392;24828;37992;36018;37508;33255;33663;9705;37484;20535;9292;10730;6942;9589;36082
Vila Kosmos;20912;23033;20825;16365;20021;18750;19567;8430;20962;8147;19244;8811;6836;18686;6958;8876;21335;5203;20669;4404;15777;7804;20963;10042;5560;5104;21530;22632;9966;10065;16527;8658;5000;13947;4872;7208;5851;1936;14503;15215;13254;6015;7792;18866;0;10807;4240;40391;7010;8360;5329;21357;10704;6821;9513;8723;5557;29517;7280;9891;49041;16150;25844;6817;13445;11113;14230;7991;7394;9537;11141;11034;12908;11410;12155;23905;9253;8488;30915;41441;12264;11874;11757;13405;14412;19292;16576;37735;11705;12541;14083;14317;13472;20367;18794;22160;13575;14946;20328;15420;14124;15403;13409;15536;14300;16211;19020;19490;20100;15875;17523;28320;21481;22328;20427;17455;21062;17945;21155;16571;26114;28486;24706;51991;41273;25533;30616;27949;28745;31573;24370;53226;23468;26348;31340;27786;23472;28713;36096;29742;31762;27552;39324;30850;27463;30366;30730;37660;33535;56593;39030;32727;37100;51709;47973;19090;11296;22911;33371;22128;23566;24887;22425;50284
Marechal Hermes;29705;31826;29617;25158;28813;27542;28359;13317;29754;11771;28037;9486;12493;27478;11182;9551;30128;14924;29462;9306;8738;8479;29755;8348;13542;15985;30322;31425;5801;9368;9488;7961;10488;6909;7210;6719;19471;13029;23532;7275;22047;5937;19698;10319;10591;0;9790;33470;10759;20462;7446;12780;2325;5687;20803;12472;9217;22596;6839;3754;42120;7892;18924;8289;5572;14862;22581;6639;10517;13286;8906;7109;5026;15159;8230;10895;6155;8932;23994;34521;16013;13059;7262;24745;10884;26117;25368;30814;11532;15024;10038;15618;12846;29160;27587;30952;14506;15876;29120;25761;14146;25744;10311;13424;12176;14087;16896;28282;28893;17154;29326;37113;30274;31120;29220;18734;29854;17740;11671;17850;34907;37279;33499;45119;35052;26812;33842;21029;38316;40366;16725;46306;21344;19428;24419;35139;21347;36066;29876;37094;40554;34904;37200;38203;25339;37719;38083;45013;40887;49722;32158;40080;44453;44838;40585;27883;4375;31704;26451;15208;16645;17967;15504;43412
Vicente de Carvalho;17946;25484;23276;18816;22472;21201;22018;8365;23413;8194;21695;7326;8314;21137;9404;7391;23786;6199;23120;2920;14293;6320;23414;8557;5870;6100;23981;25083;8481;8581;15042;7174;4258;12463;3388;5724;6847;2737;11082;13731;12995;4531;11220;17382;2307;9191;0;38906;3589;9064;1862;19873;9767;4059;9473;5302;2136;28033;4518;8954;47556;14665;24360;3396;10683;7692;10809;4570;3973;6116;7720;7613;10146;7989;8734;15149;6491;5067;29431;39957;8843;8453;8995;9984;10991;15871;13173;36251;8284;9120;10662;10896;10051;17402;15828;19194;10154;11525;17362;11999;10703;11982;18795;12774;10879;12790;15600;16524;17135;12454;14102;25354;18515;19362;17461;14034;18096;14524;17734;13150;23148;25520;21740;48570;37852;22112;27195;25961;25324;28607;20949;51742;20047;14191;30615;24365;20051;25292;32675;26321;28796;24131;35903;27430;24042;26945;27309;34239;30114;53172;35609;29306;33680;48288;44552;16125;9811;19945;31887;20644;22082;23403;20941;46863
Paciência;57358;59480;57271;52812;56467;55196;56013;40970;57408;39425;55691;37140;40147;55132;38836;37205;57782;42578;57115;36960;32532;36133;57409;37579;41196;43638;57976;59079;33455;37022;33282;35615;38141;30702;36367;34372;47125;40683;51185;27243;49701;35721;47352;26420;39748;32646;38946;0;41715;48116;39044;26036;32849;37081;48457;43429;40263;16130;37941;34278;12638;27518;22400;41523;32408;50115;50235;39296;42100;44243;40591;38357;33668;46116;39478;34435;37403;40616;18696;5600;46970;46580;36883;52399;42568;53770;53022;9285;43216;47247;41722;53446;44530;56814;55240;58606;55282;54850;56774;53415;45830;53398;39199;35594;54369;58742;41167;55936;56547;54993;56979;64766;57928;58774;56873;60141;57508;52650;39111;57557;62561;64933;61152;25259;41680;65603;61496;38480;65970;68019;38977;16824;49158;36879;41870;62793;47007;63719;47327;64748;68208;62558;58794;62424;46933;65373;65737;61359;60685;22942;49609;62773;60799;35647;39540;55537;31578;59357;15931;19167;23481;20047;19059;29532
